nombre,latitud,lon,troncal,cluster
Marsella,4.62968561,-74.13016292,AMERICAS,4
La Campiña,4.74254284,-74.09105627,SUBA,0
Transversal 86,4.6341996100000005,-74.15206292,AMERICAS,4
Guatoque - Veraguas,4.60417878,-74.09492737,CALLE 6,1
AV. 68,4.685725639999999,-74.08046904,CALLE 80,2
Distrito Grafiti,4.6278859,-74.11158095,AMERICAS,1
Tygua - San José,4.59978261,-74.08876449,CALLE 6,1
Quinta Paredes,4.63752209,-74.09310384000001,CALLE 26,1
Salitre - El Greco,4.6508690800000005,-74.10164474000001,CALLE 26,2
Carrera 90,4.70468167,-74.10456241,CALLE 80,2
Gobernación,4.64284515,-74.0965137,CALLE 26,1
AV. Cali,4.70248563,-74.10028756,CALLE 80,2
Suba - TV. 91,4.738833120000001,-74.08687372,SUBA,0
Calle 142,4.72685125,-74.0505097,AUTONORTE,0
Calle 187,4.76333017,-74.04440387,AUTONORTE,0
Mandalay,4.63084738,-74.14129964,AMERICAS,4
Calle 161,4.74191284,-74.04798602,AUTONORTE,0
Calle 106,4.6929818999999995,-74.05617838,AUTONORTE,2
Mazurén,4.73458516,-74.04921756,AUTONORTE,0
La Castellana,4.67561896,-74.06444795,NQS,2
AV. Jiménez - Caracas,4.60287397,-74.08042807,CARACAS,1
El Tiempo – Cámara de Comercio de Bogotá,4.65708058,-74.10562544,CALLE 26,2
Bicentenario,4.59402109,-74.08183585,CR 7-10,1
Banderas,4.63130064,-74.14576938,AMERICAS,4
AV. Jiménez - CL 13,4.60304793,-74.07910860999999,AMERICAS,1
Carrera 47,4.67800634,-74.07364067,CALLE 80,2
Pradera,4.62853238,-74.11867306,AMERICAS,1
Modelia,4.67504413,-74.11711695,CALLE 26,2
Biblioteca,4.5703019,-74.13038805000001,TUNAL,3
General Santander,4.59356881,-74.12954479999999,NQS,3
Parque,4.56833577,-74.13541846000001,TUNAL,3
Normandía,4.6690213400000005,-74.11325992,CALLE 26,2
Patio Bonito,4.63317191,-74.16460617999999,AMERICAS,4
Minuto de Dios,4.6966546000000005,-74.09148173999999,CALLE 80,2
Terminal,4.76881827,-74.04356946,AUTONORTE,0
Portal Norte,4.75462117,-74.04603495,AUTONORTE,0
Av. Rojas – UNISALESIANA,4.66195235,-74.10875996,CALLE 26,2
Polo – FINCOMERCIO,4.6706926300000005,-74.06474882,CALLE 80,2
Portal 20 de Julio,4.56571811,-74.09700839,CR 7-10,3
Héroes,4.66813633,-74.06031244,AUTONORTE,2
Danubio,4.54365084,-74.12089669000001,CARACAS,3
Museo Nacional - FNG,4.615247119999999,-74.06922646,CR 7-10,1
Calle 34 – Fondo Nacional de Garantías,4.62158594,-74.06975355,CARACAS,1
Portal El Dorado – C.C. NUESTRO BOGOTÁ,4.681604299999999,-74.12139545000001,CALLE 26,2
CAN - British Council,4.646880889999999,-74.09904759,CALLE 26,1
Calle 85 – GATO DUMAS,4.6723151,-74.05964002,AUTONORTE,2
AV. El Dorado,4.630662920000001,-74.07986613,NQS,1
